Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.269999999999999,29,-0.000419292310334
2.269999999999999,30,-0.000430637853107
2.269999999999999,31,-0.00045892588928
2.269999999999999,32,-0.000447208135505
2.269999999999999,33,-0.000399454842471
2.269999999999999,34,-0.00037519219936
2.269999999999999,35,-0.000354761951012
2.269999999999999,36,-0.000332374148505
2.269999999999999,37,-0.0003442435438
2.269999999999999,38,-0.00036201317276
2.269999999999999,39,-0.000355589086573
2.269999999999999,40,-0.000348144866527
2.269999999999999,41,-0.000364094797255
2.269999999999999,42,-0.000350129991873
2.269999999999999,43,-0.00038373926682
2.269999999999999,44,-0.000385297038792
2.269999999999999,45,-0.000376694828962
2.269999999999999,46,-0.000381602499955
2.269999999999999,47,-0.000406954204888
2.269999999999999,48,-0.00039934455773
2.269999999999999,49,-0.000443637667001
2.269999999999999,50,-0.000440122340869
2.269999999999999,51,-0.000455879273299
2.269999999999999,52,-0.000481878901088
2.269999999999999,53,-0.000531493249133
2.269999999999999,54,-0.000561104702203
2.274999999999999,1,0.0037693983654
2.274999999999999,2,0.00264784390197
2.274999999999999,3,0.00208650835376
2.274999999999999,4,0.00175922459801
2.274999999999999,5,0.00151635002622
2.274999999999999,6,0.0013149563028
2.274999999999999,7,0.00108457147798
2.274999999999999,8,0.000914912188908
2.274999999999999,9,0.000761492328004
2.274999999999999,10,0.00063427887878
2.274999999999999,11,0.000547774284731
2.274999999999999,12,0.000411600200267
2.274999999999999,13,0.00028730929669
2.274999999999999,14,0.000174212294368
2.274999999999999,15,0.000121799471009
2.274999999999999,16,1.10873762195e-05
2.274999999999999,17,-5.40771203651e-05
2.274999999999999,18,-0.000124935066725
2.274999999999999,19,-0.000157896418816
2.274999999999999,20,-0.000159081979787
2.274999999999999,21,-0.000217532892737
2.274999999999999,22,-0.000251321380389
2.274999999999999,23,-0.000265120758659
2.274999999999999,24,-0.000293022798237
2.274999999999999,25,-0.000369546623188
